iter	Passed	Remaining
259	1685	4798
260	1690	4785
261	1693	4770
262	1697	4756
263	1702	4745
264	1705	4730
265	1708	4715
266	1713	4704
267	1717	4692
268	1721	4678
269	1729	4675
270	1733	4664
271	1743	4666
272	1748	4657
273	1753	4646
274	1757	4632
275	1760	4617
276	1764	4605
277	1768	4592
278	1771	4578
279	1776	4567
280	1780	4555
281	1784	4544
282	1788	4530
283	1792	4519
284	1796	4507
285	1800	4494
286	1805	4486
287	1810	4475
288	1814	4463
289	1818	4452
290	1822	4441
291	1831	4440
292	1837	4434
293	1841	4422
294	1845	4410
295	1849	4398
296	1852	4385
297	1856	4373
298	1861	4363
299	1889	4409
300	1911	4439
301	1938	4480
302	1970	4532
303	1997	4573
304	2010	4580
305	2030	4604
306	2044	4615
307	2090	4695
308	2094	4684
309	2120	4719
310	2156	4778
311	2218	4892
312	2224	4882
313	2239	4892
314	2251	4896
315	2271	4917
316	2286	4926
317	2295	4922
318	2304	4919
319	2316	4921
320	2323	4914
321	2330	4907
322	2341	4908
323	2354	4912
324	2364	4910
325	2371	4903
326	2387	4913
327	2397	4911
328	2410	4915
329	2418	4911
330	2431	4915
331	2438	4907
332	2447	4902
333	2458	4903
334	2464	4892
335	2475	4891
336	2483	4885
337	2491	4878
338	2501	4876
339	2511	4874
340	2519	4868
341	2525	4859
342	2536	4859
343	2552	4867
344	2559	4858
345	2567	4853
346	2578	4852
347	2586	4845
348	2603	4856
349	2609	4845
350	2620	4845
351	2637	4856
352	2645	4849
353	2655	4846
354	2666	4845
355	2677	4844
356	2690	4846
357	2704	4849
358	2711	4840
359	2778	4939
360	2804	4964
361	2838	5003
362	2854	5008
363	2892	5054
364	2925	5089
365	2968	5141
366	3002	5178
367	3021	5189
368	3033	5186
369	3086	5255
370	3117	5285
371	3130	5284
372	3139	5277
373	3149	5271
374	3158	5264
375	3166	5254
376	3175	5246
377	3187	5244
378	3196	5237
379	3205	5230
380	3217	5227
381	3228	5223
382	3238	5216
383	3246	5208
384	3257	5203
385	3271	5204
386	3281	5197
387	3291	5191
388	3301	5185
389	3309	5176
390	3318	5169
391	3330	5165
392	3338	5156
393	3347	5148
394	3356	5140
395	3365	5133
396	3374	5125
397	3382	5116
398	3390	5107
399	3400	5100
400	3407	5090
401	3414	5079
402	3426	5076
403	3439	5074
404	3448	5066
405	3456	5057
406	3463	5047
407	3472	5038
408	3481	5030
409	3490	5022
410	3498	5013
411	3503	4999
412	3512	4992
413	3522	4985
414	3529	4975
415	3537	4965
416	3545	4956
417	3551	4944
418	3561	4938
419	3572	4933
420	3578	4921
421	3587	4913
422	3595	4905
423	3604	4897
424	3613	4888
425	3619	4877
426	3629	4870
427	3640	4864
428	3648	4856
429	3657	4848
430	3666	4840
431	3674	4831
432	3684	4824
433	3690	4813
434	3700	4806
435	3709	4798
436	3718	4790
437	3723	4778
438	3734	4772
439	3746	4767
440	3750	4754
441	3762	4749
442	3769	4740
443	3778	4731
444	3786	4722
445	3794	4713
446	3802	4704
447	3810	4695
448	3819	4687
449	3829	4681
450	3839	4673
451	3847	4664
452	3855	4655
453	3865	4648
454	3877	4644
455	3888	4639
456	3898	4632
457	3910	4627
458	3925	4627
459	3936	4621
460	3946	4614
461	3956	4607
462	3967	4601
463	3976	4593
464	3986	4586
465	4000	4584
466	4009	4575
467	4013	4562
468	4025	4557
469	4036	4551
470	4042	4540
471	4053	4534
472	4061	4525
473	4071	4518
474	4077	4506
475	4087	4499
476	4095	4490
477	4102	4479
478	4115	4476
479	4124	4467
480	4133	4460
481	4141	4451
482	4155	4447
483	4164	4439
484	4173	4431
485	4182	4423
486	4190	4413
487	4197	4403
488	4205	4394
489	4212	4384
490	4218	4373
491	4227	4365
492	4235	4356
493	4242	4346
494	4251	4337
495	4261	4329
496	4268	4319
497	4277	4311
498	4285	4302
499	4293	4293
500	4303	4286
501	4311	4277
502	4318	4266
503	4328	4259
504	4337	4251
505	4346	4243
506	4352	4232
507	4361	4224
508	4370	4216
509	4378	4207
510	4387	4198
511	4394	4188
512	4403	4180
513	4411	4171
514	4419	4162
515	4426	4151
516	4435	4143
517	4444	4135
518	4453	4127
519	4460	4117
520	4470	4110
521	4479	4101
522	4487	4092
523	4495	4084
524	4505	4076
525	4512	4066
526	4522	4058
527	4530	4049
528	4536	4038
529	4547	4032
530	4556	4024
531	4563	4014
532	4571	4005
533	4579	3996
534	4587	3987
535	4596	3979
536	4602	3968
537	4613	3962
538	4622	3953
539	4629	3944
540	4638	3935
541	4646	3926
542	4655	3917
543	4664	3909
544	4673	3901
545	4681	3892
546	4688	3883
547	4697	3874
548	4703	3863
549	4713	3856
550	4721	3847
551	4731	3840
552	4740	3831
553	4748	3823
554	4758	3815
555	4766	3806
556	4775	3798
557	4785	3790
558	4793	3781
559	4801	3772
560	4809	3763
561	4817	3754
562	4824	3745
563	4835	3737
564	4842	3728
565	4852	3720
566	4859	3710
567	4868	3702
568	4877	3694
569	4887	3686
570	4894	3677
571	4903	3669
572	4913	3661
573	4921	3652
574	4928	3642
575	4935	3633
576	4947	3626
577	4955	3617
578	4963	3609
579	4971	3600
580	4980	3591
581	4988	3582
582	4998	3575
583	5005	3565
584	5013	3556
585	5020	3547
586	5029	3538
587	5037	3529
588	5044	3520
589	5051	3510
590	5061	3503
591	5067	3492
592	5077	3484
593	5087	3477
594	5096	3469
595	5103	3459
596	5112	3451
597	5121	3443
598	5131	3435
599	5139	3426
600	5146	3416
601	5153	3407
602	5161	3398
603	5170	3390
604	5179	3381
605	5185	3371
606	5195	3364
607	5204	3355
608	5213	3346
609	5228	3342
610	5237	3334
611	5251	3329
612	5261	3321
613	5271	3313
614	5280	3305
615	5301	3304
616	5314	3299
617	5322	3289
618	5329	3280
619	5338	3271
620	5347	3263
621	5356	3254
622	5364	3246
623	5375	3239
624	5381	3228
625	5392	3221
626	5402	3214
627	5413	3206
628	5421	3197
629	5429	3188
630	5434	3178
631	5445	3170
632	5454	3162
633	5460	3152
634	5470	3144
635	5478	3135
636	5488	3127
637	5496	3118
638	5504	3109
639	5511	3100
640	5521	3092
641	5527	3082
642	5539	3075
643	5547	3066
644	5553	3056
645	5563	3048
646	5573	3040
647	5583	3033
648	5593	3024
649	5604	3017
650	5611	3008
651	5623	3001
652	5631	2992
653	5637	2982
654	5648	2975
655	5654	2965
656	5664	2957
657	5674	2949
658	5683	2940
659	5691	2931
660	5699	2923
661	5708	2914
662	5718	2906
663	5723	2896
664	5726	2884
665	5731	2874
666	5735	2863
667	5739	2852
668	5743	2841
669	5748	2831
670	5753	2820
671	5756	2809
672	5762	2799
673	5766	2789
674	5769	2778
675	5774	2767
676	5777	2756
677	5782	2746
678	5786	2735
679	5790	2724
680	5794	2714
681	5800	2704
682	5804	2694
683	5808	2683
684	5812	2672
685	5815	2662
686	5820	2651
687	5824	2641
688	5829	2631
689	5833	2620
690	5837	2610
691	5842	2600
692	5851	2592
693	5859	2583
694	5868	2575
695	5872	2564
696	5876	2554
697	5879	2544
698	5885	2534
699	5891	2525
700	5896	2514
701	5899	2504
702	5904	2494
703	5908	2484
704	5912	2474
705	5916	2463
706	5924	2455
707	5933	2447
708	5941	2438
709	5950	2430
710	5958	2421
711	5967	2413
712	5973	2404
713	5982	2396
714	5991	2388
715	5998	2379
716	6006	2370
717	6015	2362
718	6023	2354
719	6032	2345
720	6040	2337
721	6048	2329
722	6058	2321
723	6065	2312
724	6073	2303
725	6081	2295
726	6088	2286
727	6094	2277
728	6104	2269
729	6113	2261
730	6121	2252
731	6130	2244
732	6136	2235
733	6142	2226
734	6154	2218
735	6160	2209
736	6169	2201
737	6178	2193
738	6186	2184
739	6194	2176
740	6204	2168
741	6212	2160
742	6220	2151
743	6229	2143
744	6237	2135
745	6246	2126
746	6255	2118
747	6261	2109
748	6270	2101
749	6281	2093
750	6290	2085
751	6300	2077
752	6309	2069
753	6318	2061
754	6326	2053
755	6333	2044
756	6342	2036
757	6351	2027
758	6360	2019
759	6370	2011
760	6377	2003
761	6387	1995
762	6394	1986
763	6402	1977
764	6409	1968
765	6419	1960
766	6429	1953
767	6437	1944
768	6442	1935
769	6451	1927
770	6460	1918
771	6470	1911
772	6479	1902
773	6487	1894
774	6495	1885
775	6503	1877
776	6513	1869
777	6521	1860
778	6529	1852
779	6537	1843
780	6548	1836
781	6557	1828
782	6566	1819
783	6579	1812
784	6590	1804
785	6602	1797
786	6623	1792
787	6634	1785
788	6644	1776
789	6655	1769
790	6664	1760
791	6673	1752
792	6683	1744
793	6692	1736
794	6702	1728
795	6710	1719
796	6719	1711
797	6728	1703
798	6740	1695
799	6747	1686
800	6759	1679
801	6768	1671
802	6775	1662
803	6785	1654
804	6796	1646
805	6802	1637
806	6813	1629
807	6822	1621
808	6830	1612
809	6837	1603
810	6847	1595
811	6856	1587
812	6865	1579
813	6873	1570
814	6881	1562
815	6890	1553
816	6898	1545
817	6904	1536
818	6915	1528
819	6924	1519
820	6932	1511
821	6941	1503
822	6950	1494
823	6958	1486
824	6967	1477
825	6975	1469
826	6983	1460
827	6992	1452
828	7001	1444
829	7010	1435
830	7017	1427
831	7027	1418
832	7036	1410
833	7047	1402
834	7057	1394
835	7064	1385
836	7073	1377
837	7084	1369
838	7093	1361
839	7102	1352
840	7109	1344
841	7117	1335
842	7124	1326
843	7132	1318
844	7140	1309
845	7149	1301
846	7155	1292
847	7164	1284
848	7174	1275
849	7183	1267
850	7191	1259
851	7199	1250
852	7204	1241
853	7214	1233
854	7224	1225
855	7231	1216
856	7242	1208
857	7250	1200
858	7258	1191
859	7270	1183
860	7278	1175
861	7286	1166
862	7291	1157
863	7300	1149
864	7311	1141
865	7319	1132
866	7328	1124
867	7336	1115
868	7345	1107
869	7355	1099
870	7363	1090
871	7371	1082
872	7377	1073
873	7386	1064
874	7396	1056
875	7405	1048
876	7411	1039
877	7420	1031
878	7429	1022
879	7434	1013
880	7444	1005
881	7453	997
882	7460	988
883	7467	979
884	7474	971
885	7482	962
886	7490	954
887	7498	945
888	7506	937
889	7513	928
890	7522	920
891	7532	911
892	7540	903
893	7549	895
894	7556	886
895	7565	878
896	7574	869
897	7580	861
898	7590	852
899	7597	844
900	7606	835
901	7611	826
902	7621	818
903	7632	810
904	7641	802
905	7650	793
906	7659	785
907	7672	777
908	7680	768
909	7689	760
910	7696	751
911	7709	743
912	7718	735
913	7728	727
914	7737	718
915	7747	710
916	7756	702
917	7764	693
918	7777	685
919	7788	677
920	7794	668
921	7804	660
922	7813	651
923	7825	643
924	7836	635
925	7846	627
926	7857	618
927	7873	610
928	7883	602
929	7894	594
930	7900	585
931	7908	577
932	7913	568
933	7926	560
934	7929	551
935	7941	543
936	7944	534
937	7951	525
938	7958	517
939	7967	508
940	7974	500
941	7981	491
942	7984	482
943	7991	474
944	7998	465
945	8006	457
946	8013	448
947	8016	439
948	8018	430
949	8023	422
950	8030	413
951	8037	405
952	8040	396
953	8044	387
954	8052	379
955	8058	370
956	8065	362
957	8069	353
958	8075	345
959	8080	336
960	8086	328
961	8089	319
962	8095	311
963	8103	302
964	8106	294
965	8116	285
966	8119	277
967	8131	268
968	8134	260
969	8137	251
970	8140	243
971	8150	234
972	8156	226
973	8163	217
974	8174	209
975	8177	201
976	8180	192
977	8187	184
978	8201	175
979	8204	167
980	8214	159
981	8221	150
982	8229	142
983	8232	133
984	8238	125
985	8246	117
986	8254	108
987	8261	100
988	8268	91
989	8271	83
990	8277	75
991	8285	66
992	8293	58
993	8296	50
994	8304	41
995	8309	33
996	8313	25
997	8323	16
998	8326	8
999	8329	0
